transaction,category
hulu store 130,Entertainment
igl #8269,Utilities
best 396 main st,Transportation
westside 633 main st,Shopping
hinduja hospital*,Health
  mobil  ,Fuel
d mart 763 main st,Groceries
  tatasky  ,Utilities
moti mahal*,Food & Dining
SUPER BAZAR,Groceries
ovenstory/shop,Food & Dining
Kochi Metro,Transportation
WENDYS,Food & Dining
wynk music #4899,Entertainment
wegmans 341 main st,Groceries
dmart ready,Groceries
poorvika #5507,Shopping
THE BURGER CLUB,Food & Dining
ENTERTAINMENT,Entertainment
oven stry,Food & Dining
craftvilla,Shopping
bmtc/shop,Transportation
iocl,Fuel
lifetyle,Shopping
STOre,Shopping
irani cafe.com,Food & Dining
paytm mall store 355,Shopping
nilgiri's,Groceries
  target  ,Shopping
SONY LIV,Entertainment
jiosaavn/shop,Entertainment
  subway  ,Food & Dining
paytm mall,Shopping
  zara  ,Shopping
mfine*,Health
Cloudnine,Health
punjabi dhaba.com,Food & Dining
safeway 488 main st,Groceries
  power  ,Utilities
apollo pharmacy/shop,Health
tneb #5614,Utilities
best*,Transportation
theater #7437,Entertainment
ube india,Transportation
zeto,Groceries
Haldiram,Food & Dining
ola,Transportation
apollo clinic/shop,Health
netmeds,Health
hoichoi,Entertainment
JIO BP,Fuel
hindustan petroleum,Fuel
reebok,Shopping
doctor store 493,Health
Subway,Food & Dining
kstc,Transportation
indian railways 926 main st,Transportation
limeroad.com,Shopping
central store 394,Shopping
walmart,Shopping
  saravana bhavan  ,Food & Dining
breach candy.com,Health
Irani Cafe,Food & Dining
HINDUSTAN PETROLEUM,Fuel
msedcl,Utilities
eros now,Entertainment
medicine 650 main st,Health
oneplus store #3132,Shopping
disny,Entertainment
pizza hut india-store,Food & Dining
puma/shop,Shopping
bangalore metro #498,Transportation
Jio Saavn,Entertainment
tatcliq,Shopping
spencer's,Groceries
bata.com,Shopping
easyday #1546,Groceries
games the shop #5990,Entertainment
costco.com,Groceries
Airtel Digital Tv,Utilities
NE,Fuel
red bus-store,Transportation
saravana bhavan,Food & Dining
gaaa,Entertainment
RELIANCE PETROLEUM,Fuel
big basket 577 main st,Groceries
Tata Sky,Utilities
westside,Shopping
JIO BP,Fuel
chennai metro,Transportation
chfpotle,Food & Dining
bistro store 430,Food & Dining
hathway,Utilities
indian railways,Transportation
h&m/shop,Shopping
gas stetion,Fuel
verizon #3922,Utilities
mega cabs*,Transportation
petrol gump,Fuel
oneplus store,Shopping
ShoPClUeS,Shopping
more megastore.com,Groceries
pEtrol PuMp,Fuel
more,Groceries
exxon #7417,Fuel
uber.com,Transportation
meru cabs/shop,Transportation
detal,Health
reliance power 178 main st,Utilities
bata*,Shopping
subway.com,Food & Dining
blinkit*,Groceries
Pvr Cinemas,Entertainment
wegmans store 70,Groceries
ovenstory 218 main st,Food & Dining
MUMBAI METRO,Transportation
altbalaji 515 main st,Entertainment
altbalaji,Entertainment
med plus*,Health
  max fashion  ,Shopping
kolkata metro/shop,Transportation
reliance fresh #3995,Groceries
inox,Entertainment
ola cabs/shop,Transportation
gamestheshop,Entertainment
Indraprastha Gas,Utilities
auto gas/shop,Fuel
oneplus otore,Shopping
sunoco 213 main st,Fuel
torrent power,Utilities
MaHAnAgar gas,Utilities
HOSPItAL,Health
instamart-store,Groceries
Poorvika,Shopping
  publix  ,Groceries
MaHANAGaR GaS,Utilities
utilities 879 main st,Utilities
DUNZO,Groceries
att #628,Utilities
CHAI POINT,Food & Dining
concert 684 main st,Entertainment
indian railways,Transportation
bharat petroleum,Fuel
reliance power.com,Utilities
PRIME VIDEO INDIA,Entertainment
reliance digital store 443,Shopping
inox store 410,Entertainment
pblix,Groceries
exxon store 357,Fuel
walgreeqs,Health
fare.com,Transportation
aple music india,Entertainment
mall store 355,Shopping
gap/shop,Shopping
limeroad.com,Shopping
JIO BP,Fuel
theater/shop,Entertainment
medical.com,Health
jio cinema.com,Entertainment
apollo clinic*,Health
ovenstory store 180,Food & Dining
youtube music/shop,Entertainment
mfine,Health
moti mahal 631 main st,Food & Dining
health*,Health
kims hospital,Health
DUnkin,Food & Dining
WaLMART,Groceries
natures basket,Groceries
flipkart supermart #9140,Groceries
myupcaar,Health
paNEra,Food & Dining
transpot,Transportation
chai point-store,Food & Dining
manipal hospital-store,Health
vi #4529,Utilities
pharmeasy.com,Health
reliance petroleum,Fuel
max healthcare,Health
Samsung Store,Shopping
CINEMA,Entertainment
comcast,Utilities
MObil,Fuel
hotstar/shop,Entertainment
idEA,Utilities
haldiram,Food & Dining
Movie,Entertainment
BHARAT PETROLEUM,Fuel
dtc,Transportation
clinic,Health
train store 386,Transportation
UDAAN,Shopping
best,Transportation
mfine*,Health
fare store 193,Transportation
chennai metro #7359,Transportation
Airtel Digital Tv,Utilities
nilgiris,Groceries
dominos india,Food & Dining
playstation,Entertainment
pvr cinemas*,Entertainment
internet 278 main st,Utilities
iocl 909 main st,Fuel
auto gas,Fuel
medicine 650 main st,Health
YB,Utilities
Marathon,Fuel
  concert  ,Entertainment
OC,Transportation
  bpcl  ,Fuel
Jio Bp,Fuel
tneb,Utilities
Cloudnine,Health
amazo prime,Entertainment
uber,Transportation
MOBIL,Fuel
apollo pharmacy*,Health
phone.com,Utilities
nykaa fashion 976 main st,Shopping
CM,Transportation
jio/shop,Utilities
wegmans 259 main st,Groceries
sTarbuckS,Food & Dining
PP,Fuel
  motherhood  ,Health
gascompany,Utilities
big basket store 395,Groceries
SAFEWAY,Groceries
AlTbaLaJi,Entertainment
paytm mall #6076,Shopping
medpus,Health
BLu SMaRT,Transportation
uber/shop,Transportation
mega cabs,Transportation
  aiims  ,Health
raymond,Shopping
saravana ghavan,Food & Dining
voot store 298,Entertainment
  starbucks  ,Food & Dining
VERIZON,Utilities
zepto-store,Groceries
max hospital*,Health
saueway,Groceries
apollo clinic store 211,Health
shell*,Fuel
jio mart,Groceries
BEST,Transportation
bpcl,Fuel
gas station store 380,Fuel
chennai metro #9866,Transportation
iocl #326,Fuel
bpcl #5810,Fuel
chevron store 487,Fuel
shell india 781 main st,Fuel
Mfine,Health
lifestyle stores.com,Shopping
auto gas,Fuel
tta sky,Utilities
irani cafe*,Food & Dining
phonE,Utilities
truemeds #937,Health
playstation,Entertainment
xental,Health
publix store 405,Groceries
CNG,Fuel
essar oil*,Fuel
vi,Utilities
GROCERY,Groceries
kfc india*,Food & Dining
D MART,Groceries
medicover,Health
Paytm Movies,Entertainment
oNeMg,Health
nextna,Utilities
NaTUrE's BAsKET,Groceries
mx player*,Entertainment
relance trends,Shopping
amsrtc,Transportation
sunoco #519,Fuel
HOSPITAL,Health
saravana bhavan,Food & Dining
koch metro,Transportation
ttasky,Utilities
  faasos  ,Food & Dining
walmart-store,Shopping
gas company-store,Utilities
ajio 313 main st,Shopping
hindutan petroleum,Fuel
super bazar*,Groceries
taxi*,Transportation
BSNL,Utilities
Jio Bp,Fuel
games,Entertainment
  rebel foods  ,Food & Dining
marathon.com,Fuel
aha store 237,Entertainment
1mg 925 main st,Health
rapido-store,Transportation
concert 755 main st,Entertainment
hoichoi,Entertainment
Iocl,Fuel
satyam cinemas 782 main st,Entertainment
Bp,Fuel
bp,Fuel
Amusement,Entertainment
aMaZon PRImE,Entertainment
bata,Shopping
grofers 706 main st,Groceries
medcl,Utilities
best,Transportation
  bp  ,Fuel
gas station.com,Fuel
hindustan petroleum store 367,Fuel
internet-store,Utilities
super bazar*,Groceries
Indian Railways,Transportation
market 327 main st,Groceries
lilavati 503 main st,Health
delhi metro*,Transportation
hoichoi #9531,Entertainment
subway*,Transportation
restaurant-store,Food & Dining
spar*,Groceries
shell india 904 main st,Fuel
apna bazaar 972 main st,Groceries
barista.com,Food & Dining
amazon prime,Entertainment
mobil 324 main st,Fuel
PlaYStATioN,Entertainment
bharat petroleum*,Fuel
bpcl 906 main st,Fuel
DR,Groceries
jabong,Shopping
prime video india*,Entertainment
nature's basket-store,Groceries
biryani blues,Food & Dining
iocl,Fuel
grofers/shop,Groceries
cesc 951 main st,Utilities
VS,Shopping
youtubemusic,Entertainment
MEGA CABS,Transportation
parking,Transportation
Aster,Health
max hopital,Health
  subway  ,Transportation
flipkart 714 main st,Shopping
kroger #5155,Groceries
bharat petroleum*,Fuel
Amusement,Entertainment
domnos,Food & Dining
sun nxt.com,Entertainment
shell 976 main st,Fuel
adidas,Shopping
rail,Transportation
hpcl.com,Fuel
spectra store 45,Utilities
SB,Food & Dining
hyderabad metro-store,Transportation
  sun nxt  ,Entertainment
fuel,Fuel
saHaKARI BHandAr,Groceries
more,Groceries
red bus 712 main st,Transportation
  pvr cinemas  ,Entertainment
bIg BAskEt,Groceries
easyday*,Groceries
fab india*,Shopping
  tikona  ,Utilities
ExxON,Fuel
koovs,Shopping
more megastore-store,Groceries
vijay sales/shop,Shopping
disney hotstar/shop,Entertainment
zara-store,Shopping
groferu,Groceries
apsrtc/shop,Transportation
perol pump,Fuel
reliance power*,Utilities
airtel digital tv.com,Utilities
EO,Fuel
nilgiri's store 242,Groceries
  dining  ,Food & Dining
SHELL,Fuel
dmart 393 main st,Groceries
d mart.com,Groceries
rainbow hospital,Health
games the shop,Entertainment
gap 600 main st,Shopping
craftsvilla,Shopping
shoppor's stop,Shopping
wockhardt #6255,Health
nArayaNa HealTh,Health
  publix  ,Groceries
netflix/shop,Entertainment
ABhIBUS,Transportation
DOMINOS,Food & Dining
CM,Transportation
max healthcare.com,Health
apollo pharmacy/shop,Health
tneb #2149,Utilities
  tikona  ,Utilities
telecom,Utilities
act broadband 75 main st,Utilities
vijay sales,Shopping
red bus,Transportation
uaan,Shopping
amusement store 144,Entertainment
sun direct-store,Utilities
max fashion store 22,Shopping
  indiamart  ,Shopping
shell india-store,Fuel
jiomart.com,Groceries
diesel-store,Fuel
max fashion.com,Shopping
hulu,Entertainment
rebel foods #5546,Food & Dining
cvs/shop,Health
gasoline*,Fuel
Subway India,Food & Dining
Rite Aid,Health
walmart,Groceries
haldirams/shop,Food & Dining
yu broadband,Utilities
msedcl store 276,Utilities
walmart,Groceries
mtnl 743 main st,Utilities
mtnl #2054,Utilities
petrol store 87,Fuel
paytm mall.com,Shopping
  mega cabs  ,Transportation
wendys,Food & Dining
  hotstar  ,Entertainment
Mall,Shopping
lifestyle stores*,Shopping
walmart,Shopping
biyani blues,Food & Dining
ONEPLUS STORE,Shopping
fresh/shop,Groceries
IG,Utilities
Taco Bell,Food & Dining
dish tv.com,Utilities
super bazar,Groceries
CAFE,Food & Dining
PANERA,Food & Dining
hoichoi,Entertainment
vublix,Groceries
pvr-store,Entertainment
Rainbow Hospital,Health
more #1564,Groceries
starbucks 421 main st,Food & Dining
mumbai metro #1926,Transportation
Raymond,Shopping
chennai mero,Transportation
diesel #541,Fuel
ovenstory,Food & Dining
filgiri's,Groceries
games #5653,Entertainment
olA,Transportation
whole foods/shop,Groceries
train/shop,Transportation
DR Lal pathLaBS,Health
dmart,Groceries
rainbow hospital store 357,Health
hobstar,Entertainment
moti mahal store 301,Food & Dining
CHENNAI METRO,Transportation
gap,Shopping
bsnl/shop,Utilities
vodafone idea,Utilities
pspcl 96 main st,Utilities
jio bp,Fuel
uber india,Transportation
shell-store,Fuel
Ccd,Food & Dining
metro #7646,Transportation
bata*,Shopping
dnzo,Groceries
ryte aid,Health
playswation,Entertainment
TAtaSky,Utilities
JIO,Utilities
Red Bus,Transportation
msrtc.com,Transportation
apple music ndia,Entertainment
water-store,Utilities
bp/shop,Fuel
voot*,Entertainment
cafe,Food & Dining
central 469 main st,Shopping
  cafe coffee day  ,Food & Dining
  tata power  ,Utilities
LIFESTYLE STORES,Shopping
fortis*,Health
lunchbox #1795,Food & Dining
kokilaben,Health
  fare  ,Transportation
wegmns,Groceries
AppLe STORE,Shopping
grocery*,Groceries
fuel,Fuel
restaurant*,Food & Dining
Jio,Utilities
cafe coffee day #9901,Food & Dining
Hulu,Entertainment
transport/shop,Transportation
liberty,Shopping
gagoline,Fuel
sunoco,Fuel
internet/shop,Utilities
apna bazaar store 106,Groceries
bestbuy*,Shopping
d mart*,Groceries
train-store,Transportation
