transaction,category
CONcErT,Entertainment
liestyle stores,Shopping
jio mart/shop,Groceries
shopclues store 179,Shopping
KOOVS,Shopping
  games the shop  ,Entertainment
Kfc,Food & Dining
D2H,Utilities
spotify india-store,Entertainment
Lunchbox,Food & Dining
shell india 904 main st,Fuel
wyn music,Entertainment
cesc store 75,Utilities
tneb #5614,Utilities
amazon india #3277,Shopping
bses,Utilities
lunchbox #6306,Food & Dining
mfine*,Health
erosnow-store,Entertainment
uber india-store,Transportation
kokilaben 65 main st,Health
trjder joes,Groceries
PUMA,Shopping
aiims.com,Health
aMAzoN,Shopping
cvs #5231,Health
Publix,Groceries
  redbus  ,Transportation
NETFLIX,Entertainment
dr lal pathlabs*,Health
barista/shop,Food & Dining
shell india-store,Fuel
Ajio,Shopping
myntra store 183,Shopping
apsrtc.com,Transportation
  petrol  ,Fuel
  den  ,Utilities
wow momo,Food & Dining
udaan #132,Shopping
hotstai,Entertainment
  phone  ,Utilities
mcdonalds store 168,Food & Dining
abhibus.com,Transportation
natures basket,Groceries
rainbow hospibal,Health
bikanervaza,Food & Dining
Poorvika,Shopping
marathon store 164,Fuel
jio mart store 237,Groceries
fresh.com,Groceries
bharat petroleum #2183,Fuel
blusmart 953 main st,Transportation
InDiAmarT,Shopping
INDIAN RAILWAYS,Transportation
IO,Fuel
  chennai metro  ,Transportation
igdian oil,Fuel
med plus,Health
perol pump,Fuel
sunoce,Fuel
panera-store,Food & Dining
mega cabe,Transportation
TS,Utilities
cafe coffee day,Food & Dining
twenty four seven/shop,Groceries
metro #9794,Transportation
marathon 161 main st,Fuel
medicine-store,Health
unternet,Utilities
NAYARA ENERGY,Fuel
tata power 119 main st,Utilities
  saravana bhavan  ,Food & Dining
jio bp*,Fuel
SUNOCO,Fuel
  hindustan petroleum  ,Fuel
indian railways,Transportation
zomatg,Food & Dining
CARnival CiNeMaS,Entertainment
Train,Transportation
Spar,Groceries
motherhood-store,Health
udupi,Food & Dining
power #4840,Utilities
udaan/shop,Shopping
DISH TV,Utilities
SuNOCO,Fuel
  jio bp  ,Fuel
petrol 397 main st,Fuel
wockhardt.com,Health
Redbus,Transportation
theater-store,Entertainment
apsrtc-store,Transportation
Medical,Health
cafe #6609,Food & Dining
nayara energy 775 main st,Fuel
Macys,Shopping
aster*,Health
hyderabad metro #8863,Transportation
bmtc*,Transportation
pvr store 414,Entertainment
dunkin-store,Food & Dining
airtel,Utilities
WALMART,Shopping
fare,Transportation
playstation,Entertainment
supermarket.com,Groceries
grocery,Groceries
transport #1432,Transportation
pharmeay,Health
easyday #8201,Groceries
vi,Utilities
pvr store 436,Entertainment
westside*,Shopping
cqaayos,Food & Dining
hyderabad metro-store,Transportation
PAYTM MALL,Shopping
blusmart 362 main st,Transportation
rebel foods #7693,Food & Dining
BB,Groceries
mAcYs,Shopping
games the shop store 268,Entertainment
puma 897 main st,Shopping
parking #4464,Transportation
hathway*,Utilities
shell 645 main st,Fuel
poorvika #2292,Shopping
shell/shop,Fuel
vijay sales,Shopping
medplus*,Health
Fresh Menu,Food & Dining
Eros Now,Entertainment
Fuel,Fuel
  chaayos  ,Food & Dining
indraprstha gas,Utilities
fare store 414,Transportation
medplus 892 main st,Health
reBEL FooDS,Food & Dining
sony liv,Entertainment
super bazar/shop,Groceries
pHArmAcY,Health
zomato-store,Food & Dining
ircTc,Transportation
movie 820 main st,Entertainment
saravana bhavan store 173,Food & Dining
msrtc #1912,Transportation
dsney hotstar,Entertainment
GaIL,Utilities
BURGER KING INDIA,Food & Dining
fresh*,Groceries
targej,Shopping
VERIZON,Utilities
Act fIbeRNeT,Utilities
decathlon india,Shopping
redbus #5355,Transportation
msedcl,Utilities
hungama.com,Entertainment
internet*,Utilities
DINER,Food & Dining
tikona/shop,Utilities
snapdeal #4606,Shopping
BB,Food & Dining
  bestbuy  ,Shopping
blu smart,Transportation
udupi store 128,Food & Dining
  kroger  ,Groceries
burger/shop,Food & Dining
dental #6265,Health
apollo hospitals-store,Health
MM,Transportation
grofers/shop,Groceries
punjabi dhaa,Food & Dining
fortis hospital*,Health
pvr*,Entertainment
Jiocinema,Entertainment
cafe coffee day #9901,Food & Dining
udupi.com,Food & Dining
ReLIance pEtrOL,Fuel
rie aid,Health
h&m/shop,Shopping
tata sky store 93,Utilities
delhi metro.com,Transportation
NAYaRa Energy,Fuel
airtel,Utilities
jabong #1691,Shopping
  tata sky  ,Utilities
transit/shop,Transportation
barista*,Food & Dining
spotify india.com,Entertainment
  big bazaar  ,Groceries
  dining  ,Food & Dining
metro store 86,Transportation
chevron #3017,Fuel
Amazon India,Shopping
marathon 923 main st,Fuel
mega cabs-store,Transportation
amazon india store 488,Shopping
SUPER BAZAR,Groceries
shell india 871 main st,Fuel
cafe,Food & Dining
koovs,Shopping
ACT BROADBAND,Utilities
manipal hospital-store,Health
panera,Food & Dining
Naaptol,Shopping
max hospital #311,Health
BARISTA,Food & Dining
dtc/shop,Transportation
Faasos,Food & Dining
  apsrtc  ,Transportation
  irani cafe  ,Food & Dining
gasoline/shop,Fuel
dqlhi metro,Transportation
jiosaavn.com,Entertainment
DR Lal pathLaBS,Health
vi #8573,Utilities
  mega cabs  ,Transportation
Hungama,Entertainment
prime video india,Entertainment
lyft-store,Transportation
shell*,Fuel
msrtc #3924,Transportation
xbox-store,Entertainment
PB,Transportation
subwjy,Food & Dining
lilavati store 330,Health
fab india-store,Shopping
chennai metro,Transportation
movie store 243,Entertainment
petrol pump.com,Fuel
jio 847 main st,Utilities
UDUPI,Food & Dining
behrouz biryani #8589,Food & Dining
Mahanagar Gas,Utilities
SUN NXT,Entertainment
mall,Shopping
tAtAsKy,Utilities
haldirams/shop,Food & Dining
hpcl 706 main st,Fuel
gamesteshop,Entertainment
apollo clinic,Health
OLA,Transportation
jio bp/shop,Fuel
burger,Food & Dining
TARGET,Shopping
nature's basket 345 main st,Groceries
  spencer's  ,Groceries
altbalaji/shop,Entertainment
reliance petroleum,Fuel
PETROL,Fuel
apple store/shop,Shopping
olr cabs,Transportation
swiggy store 159,Food & Dining
srl diagnostics #3667,Health
Theater,Entertainment
homeshop18/shop,Shopping
paytm bui,Transportation
amazon-store,Shopping
kims rospital,Health
nike,Shopping
hpcl.com,Fuel
Nordstrom,Shopping
GAANA,Entertainment
motmerhood,Health
sTAR BAzAar,Groceries
cafe offee day,Food & Dining
phoe,Utilities
dtc/shop,Transportation
reliance trends,Shopping
iddian oil,Fuel
target-store,Groceries
max fashion.com,Shopping
  motherhood  ,Health
hinduja hospital-store,Health
blu smart/shop,Transportation
swiggy store 236,Food & Dining
vi #9970,Utilities
bmtc,Transportation
metro cash,Groceries
voot store 298,Entertainment
verIZon,Utilities
jiosaavn store 430,Entertainment
barista store 197,Food & Dining
redbos,Transportation
dental #5577,Health
med plus,Health
sun nxt.com,Entertainment
nayara energy.com,Fuel
reliance smart store 97,Groceries
petrol #7103,Fuel
walmarT,Shopping
VodAfonE IDeA,Utilities
pvr-store,Entertainment
rapido,Transportation
blinit,Groceries
trqnsit,Transportation
sonyliv 821 main st,Entertainment
rail/shop,Transportation
CESC,Utilities
dmart ready,Groceries
apsrtc*,Transportation
altbalaji*,Entertainment
  supermarket  ,Groceries
eros now 561 main st,Entertainment
marathon,Fuel
biKAnervALA,Food & Dining
jio store 381,Utilities
tansport,Transportation
jio saavn,Entertainment
Swiggy Instamart,Food & Dining
ATT,Utilities
dental 242 main st,Health
parking store 407,Transportation
metro,Transportation
Wynk Music,Entertainment
PHI,Food & Dining
prime video india,Entertainment
samsung store*,Shopping
hungama,Entertainment
CM,Transportation
you broadband-store,Utilities
entertainment #1263,Entertainment
fab ndia,Shopping
phgne,Utilities
lYFt,Transportation
mOviE,Entertainment
Xbox,Entertainment
TATACLIQ,Shopping
BEST,Transportation
chennai metro*,Transportation
AMAZON,Shopping
easyday.com,Groceries
Shopper'S Stop,Shopping
target #9999,Groceries
nilgiri's,Groceries
  meru cabs  ,Transportation
naaptol,Shopping
target 196 main st,Shopping
games the shop #5990,Entertainment
tata sky.com,Utilities
paytm mall*,Shopping
idea,Utilities
  rail  ,Transportation
naaptol/shop,Shopping
bmtc,Transportation
hyderabad metro-store,Transportation
instamart*,Groceries
kovs,Shopping
apsrtc/shop,Transportation
theater 164 main st,Entertainment
dElHI jaL BOaRd,Utilities
msrtc-store,Transportation
auto gas 218 main st,Fuel
domino india,Food & Dining
instamart*,Groceries
bmtc store 395,Transportation
apple store india,Shopping
  sun direct  ,Utilities
MACYS,Shopping
CVS,Health
big bazaar 560 main st,Groceries
petrol pump,Fuel
mtnl 512 main st,Utilities
poorvika*,Shopping
altbalaji,Entertainment
mtnl-store,Utilities
hdngama,Entertainment
aha-store,Entertainment
1MG,Health
macys 142 main st,Shopping
whole foods/shop,Groceries
marathon store 180,Fuel
hochoi,Entertainment
fuel*,Fuel
pizza 463 main st,Food & Dining
RP,Fuel
irctc,Transportation
concert*,Entertainment
iocl*,Fuel
behrouz biryani.com,Food & Dining
twenty four seven*,Groceries
nextra-store,Utilities
miraj cinemas,Entertainment
d mart 763 main st,Groceries
reliance petroleum #5294,Fuel
d mart*,Groceries
XBOX,Entertainment
  medical  ,Health
ajio #8792,Shopping
  nordstrom  ,Shopping
fuel*,Fuel
disney+ hotstar-store,Entertainment
best,Transportation
safeway*,Groceries
EssAR oiL,Fuel
bescom,Utilities
ttasky,Utilities
water,Utilities
hypercity #3350,Groceries
reliance fresh*,Groceries
Cafe,Food & Dining
exon,Fuel
gaana store 86,Entertainment
abhibus 424 main st,Transportation
onemg*,Health
paytm mall store 179,Shopping
buvger king india,Food & Dining
NYKAA,Shopping
alt balaji.com,Entertainment
jio bp #1935,Fuel
pizza hut india #3116,Food & Dining
amusement-store,Entertainment
croma*,Shopping
petrol pump,Fuel
  concert  ,Entertainment
kokilaben,Health
med plus/shop,Health
starbucks,Food & Dining
homeshop18-store,Shopping
  aiims  ,Health
blu smart*,Transportation
cable.com,Utilities
reliance fresh.com,Groceries
Bata,Shopping
gams,Entertainment
medplus*,Health
MSrTC,Transportation
uber india store 317,Transportation
  subway india  ,Food & Dining
aster 966 main st,Health
fortis.com,Health
  nayara energy  ,Fuel
baytm mall,Shopping
cafe/shop,Food & Dining
woodland*,Shopping
  red bus  ,Transportation
gap store 47,Shopping
  cable  ,Utilities
sunoco,Fuel
Subway India,Food & Dining
AP,Utilities
sun direct 368 main st,Utilities
voot/shop,Entertainment
truemeds,Health
flipkartsupermart,Groceries
mcdonalds #4155,Food & Dining
  water  ,Utilities
DElhI Jal BOarD,Utilities
spectra-store,Utilities
Saravana Bhavan,Food & Dining
NAYARA ENERGY,Fuel
chaayos store 50,Food & Dining
narayana health #3437,Health
Fuel,Fuel
kstc,Transportation
instamart-store,Groceries
moti mahal 791 main st,Food & Dining
petrol-store,Fuel
